time,w_g
0,3.20224356041013e-06
0.0125,8.30829034385332e-06
0.025,1.38597625399463e-05
0.0375,1.95393708563171e-05
0.05,2.21202600726623e-05
0.0625,2.24959355057488e-05
0.075,2.23810351181846e-05
0.0875,2.215691633215e-05
0.1,2.24069884680961e-05
0.1125,2.3220295415329e-05
0.125,2.44404446774181e-05
0.1375,2.57602772933228e-05
0.15,2.68857173793101e-05
0.1625,2.76816320549447e-05
0.175,2.80119724032548e-05
0.1875,2.80159506578368e-05
0.2,2.75103545331593e-05
0.2125,2.85074591925203e-05
0.225,3.55462673942333e-05
0.2375,4.47358903814626e-05
0.25,5.18509254129486e-05
0.2625,5.28056890544408e-05
0.275,4.28761629077748e-05
0.2875,2.68611663629715e-05
0.3,1.07836350914924e-05
0.3125,-1.76813892367374e-06
0.325,-9.32745975964407e-06
0.3375,-1.22476847895086e-05
0.35,-1.19629932914903e-05
0.3625,-9.77547181685044e-06
0.375,-6.89081762932207e-06
0.3875,-4.03366842112718e-06
0.4,-1.53593929406515e-06
0.4125,5.36682557356153e-07
0.425,2.25706250353528e-06
0.4375,3.58934800076435e-06
0.45,4.4817454446071e-06
0.4625,4.82967803804663e-06
0.475,4.59455063966525e-06
0.4875,3.83526359337177e-06
0.5,2.7283592699777e-06
0.5125,1.48229938411604e-06
0.525,2.36422528969967e-07
0.5375,-9.53853701734506e-07
0.55,-2.09422801870072e-06
0.5625,-3.21543830204523e-06
0.575,-4.33868605752587e-06
0.5875,-5.47016215401504e-06
0.6,-6.5827693817321e-06
0.6125,-7.6261933059673e-06
0.625,-8.57396943024903e-06
0.6375,-9.38288192959158e-06
0.65,-1.00274330375611e-05
0.6625,-1.04904951643033e-05
0.675,-1.07633722797237e-05
0.6875,-1.0841775733667e-05
0.7,-1.07235769689831e-05
0.7125,-1.04099498152633e-05
0.725,-9.90769651783712e-06
0.7375,-9.23110535573455e-06
0.75,-8.40145796950059e-06
0.7625,-7.44528969866692e-06
0.775,-6.38963093980461e-06
0.7875,-5.2610946303429e-06
0.8,-4.08149747093296e-06
0.8125,-2.8757425239376e-06
0.825,-1.66040634373865e-06
0.8375,-4.47750582465159e-07
0.85,7.31056130750124e-07
0.8625,1.86058550150986e-06
0.875,2.91975111156376e-06
0.8875,3.88922701112934e-06
0.9,4.7494975343839e-06
0.9125,5.48283569732371e-06
0.925,6.07329648211204e-06
0.9375,6.50484881551338e-06
0.95,6.76520151951401e-06
0.9625,6.84318451561153e-06
0.975,6.73034621310306e-06
0.9875,6.42050374520725e-06
1,5.90902690718821e-06
1.0125,5.19458546288326e-06
1.025,4.27852434677133e-06
1.0375,3.1641606497774e-06
1.05,1.85720543383558e-06
1.0625,3.65905774296217e-07
1.075,-1.30047456697117e-06
1.0875,-3.12986842755648e-06
1.1,-5.10914138704027e-06
1.1125,-7.23162439725739e-06
1.125,-9.45343588125808e-06
1.1375,-1.17778525616012e-05
1.15,-1.4182499927866e-05
1.1625,-1.66426779356109e-05
1.175,-1.91365895520596e-05
1.1875,-2.16404017701459e-05
1.2,-2.4130064826631e-05
1.2125,-2.65808339328284e-05
1.225,-2.89681937372493e-05
1.2375,-3.12674500343827e-05
1.25,-3.3454611440734e-05
1.2625,-3.55062159021859e-05
1.275,-3.73998887910362e-05
1.2875,-3.91147309564113e-05
1.3,-4.06309159560008e-05
1.3125,-4.19305521808209e-05
1.325,-4.29977653076385e-05
1.3375,-4.38183098951496e-05
1.35,-4.43807370912011e-05
1.3625,-4.46756842304946e-05
1.375,-4.46968465152414e-05
1.3875,-4.44405044127706e-05
1.4,-4.39060646647178e-05
1.4125,-4.30962674895464e-05
1.425,-4.20161538809989e-05
1.4375,-4.06742780012931e-05
1.45,-3.90815300036107e-05
1.4625,-3.72518410408156e-05
1.475,-3.52024933381919e-05
1.4875,-3.29528548548522e-05
1.5,-3.05243203713696e-05
1.5125,-2.79408641741424e-05
1.525,-2.5228438752059e-05
1.5375,-2.24147443910015e-05
1.55,-1.95280929995956e-05
1.5625,-1.6598278546566e-05
1.575,-1.36555985676383e-05
1.5875,-1.07301385850449e-05
1.6,-7.85223060669954e-06
1.6125,-5.05155964468877e-06
1.625,-2.35675071614615e-06
1.6375,2.04018994923038e-07
1.65,2.60619957052002e-06
1.6625,4.82321662323508e-06
1.675,6.84875217803697e-06
1.6875,8.62967534239068e-06
1.7,1.01679742217764e-05
1.7125,1.14530421190542e-05
1.725,1.24691021133052e-05
1.7375,1.32091974070671e-05
1.75,1.36673752489671e-05
1.7625,1.38420847063335e-05
1.775,1.37335358588478e-05
1.7875,1.33459215627351e-05
1.8,1.2686720328274e-05
1.8125,1.17660247494775e-05
1.825,1.05970664299208e-05
1.8375,9.19524849017352e-06
1.85,7.57981060500656e-06
1.8625,5.76951465691864e-06
1.875,3.79076904440255e-06
1.8875,1.65585555482836e-06
1.9,-5.91997819414414e-07
1.9125,-2.92347308619313e-06
1.925,-5.32772303491787e-06
1.9375,-7.76552820517366e-06
1.95,-1.02091498297051e-05
1.9625,-1.26271283860614e-05
1.975,-1.49898590448665e-05
1.9875,-1.72675470123195e-05
2,-1.94311442367139e-05
2.0125,-2.14524949254253e-05
2.025,-2.3305010758995e-05
2.0375,-2.4963651320062e-05
2.05,-2.64054252518361e-05
2.0625,-2.76094557197618e-05
2.075,-2.85571894494445e-05
2.0875,-2.92328855170459e-05
2.1,-2.96234769727034e-05
2.1125,-2.97194555631996e-05
2.125,-2.95136906037205e-05
2.1375,-2.90029034401158e-05
2.15,-2.81871089063282e-05
2.1625,-2.70696510165032e-05
2.175,-2.56574798862303e-05
2.1875,-2.39607006172959e-05
2.2,-2.19926605302371e-05
2.2125,-1.97699985553406e-05
2.225,-1.73121222604849e-05
2.2375,-1.46412057680744e-05
2.25,-1.17819226265468e-05
2.2625,-8.76107361368996e-06
2.275,-5.60731254261195e-06
2.2875,-2.35071425159751e-06
2.3,9.7727821062168e-07
2.3125,4.34469580050166e-06
2.325,7.71882213208603e-06
2.3375,1.1068263036189e-05
2.35,1.43630109195345e-05
2.3625,1.75661355279104e-05
2.375,2.06493740712514e-05
2.3875,2.35847315024079e-05
2.4,2.63453946177103e-05
2.4125,2.89065130944117e-05
2.425,3.12456718373287e-05
2.4375,3.33424073703938e-05
2.45,3.51794920124624e-05
2.4625,3.67425580358205e-05
2.475,3.8020116064271e-05
2.4875,3.90039942896633e-05
2.5,3.96890980753177e-05
2.5125,4.00733499414345e-05
2.525,4.01581054351487e-05
2.5375,3.99473834639117e-05
2.55,3.94484608459034e-05
2.5625,3.86718250677459e-05
2.575,3.7630635125624e-05
2.5875,3.63401006103939e-05
2.6,3.48185720020763e-05
2.6125,3.30862469175512e-05
2.625,3.1165002864505e-05
2.6375,2.90802889771136e-05
2.65,2.68562218813496e-05
2.6625,2.45201732569273e-05
2.675,2.2100238809021e-05
2.6875,1.96251831854302e-05
2.7,1.71242405661347e-05
2.7125,1.46265499907606e-05
2.725,1.21607097344468e-05
2.7375,9.75497191579116e-06
2.75,7.43751857267372e-06
2.7625,5.23442425087032e-06
2.775,3.17222624388755e-06
2.7875,1.27094283702344e-06
2.8,-4.27979814882594e-07
2.8125,-1.94093287306754e-06
2.825,-3.23653485075866e-06
2.8375,-4.29036322173236e-06
2.85,-5.09797722707678e-06
2.8625,-5.64817314778247e-06
2.875,-5.93733235024708e-06
2.8875,-5.96283709608819e-06
2.9,-5.72582894589519e-06
2.9125,-5.22992294934283e-06
2.925,-4.48153460888894e-06
2.9375,-3.49163825919576e-06
2.95,-2.27236758640077e-06
2.9625,-8.41494357839447e-07
2.975,7.85714744801119e-07
2.9875,2.58169327690561e-06
3,4.52335579260709e-06
3.0125,6.61610053154418e-06
3.025,8.79978551655153e-06
3.0375,1.10577768741747e-05
3.05,1.33622588115113e-05
3.0625,1.56859446476905e-05
3.075,1.80009409507627e-05
3.0875,2.02795156007405e-05
3.1,2.24946225782257e-05
3.1125,2.46201647400717e-05
3.125,2.66313995033032e-05
3.1375,2.85044393593354e-05
3.15,3.02176633638135e-05
3.1625,3.17515010451963e-05
3.175,3.30880268011948e-05
3.1875,3.42118165002053e-05
3.2,3.5109726528788e-05
3.2125,3.57722045380464e-05
3.225,3.61915119758033e-05
3.2375,3.63623907434041e-05
3.25,3.62827073506553e-05
3.2625,3.59533272094777e-05
3.275,3.53774856274537e-05
3.2875,3.45608060048798e-05
3.3,3.35115239273515e-05
3.3125,3.22401980979514e-05
3.325,3.0759918224671e-05
3.3375,2.90854340277731e-05
3.35,2.7233679499842e-05
3.3625,2.52231501775225e-05
3.375,2.30742117548839e-05
3.3875,2.08081324279889e-05
3.4,1.8447661004317e-05
3.4125,1.60160760634934e-05
3.425,1.35374120807369e-05
3.4375,1.10357850810039e-05
3.45,8.53523135586231e-06
3.4625,6.05986532145608e-06
3.475,3.63335398976049e-06
3.4875,1.27924828258787e-06
3.5,-9.81733943870941e-07
3.5125,-3.12679347752043e-06
3.525,-5.1408986296945e-06
3.5375,-6.99166579602471e-06
3.55,-8.68362984799742e-06
3.5625,-1.02047822775077e-05
3.575,-1.15274100109647e-05
3.5875,-1.26508649277691e-05
3.6,-1.35660107917711e-05
3.6125,-1.42703893801247e-05
3.625,-1.47619838903307e-05
3.6375,-1.50424383744804e-05
3.65,-1.51156520433455e-05
3.6625,-1.49880059322727e-05
3.675,-1.46683398404997e-05
3.6875,-1.41676065028088e-05
3.7,-1.34988311149024e-05
3.7125,-1.2676910437105e-05
3.725,-1.17185708989892e-05
3.7375,-1.06419922251196e-05
3.75,-9.46662893055943e-06
3.7625,-8.21289359190522e-06
3.775,-6.90181671158849e-06
3.7875,-5.5548840110411e-06
3.8,-4.19359285874899e-06
3.8125,-2.84019060141356e-06
3.825,-1.51244886232687e-06
3.8375,-2.34406245987941e-07
3.85,9.73890707482564e-07
3.8625,2.09555562303432e-06
3.875,3.11358767095535e-06
3.8875,4.01264599966415e-06
3.9,4.77893766166317e-06
3.9125,5.40041751265181e-06
3.925,5.8670417537042e-06
3.9375,6.17093675827053e-06
3.95,6.30624520763888e-06
3.9625,6.26916472021198e-06
3.975,6.0580152940733e-06
3.9875,5.6733671898325e-06
4,5.11772628746202e-06
4.0125,4.39582359904439e-06
4.025,3.51436105014213e-06
4.0375,2.48163673115486e-06
4.05,1.3078603216065e-06
4.0625,4.79955558810036e-09
4.075,-1.41348481188792e-06
4.0875,-2.93377760704911e-06
4.1,-4.53736105283873e-06
4.1125,-6.21828686017973e-06
4.125,-7.94029764475305e-06
4.1375,-9.69197567998619e-06
4.15,-1.14634087950696e-05
4.1625,-1.32297297200127e-05
4.175,-1.49740538112269e-05
4.1875,-1.66769769350688e-05
4.2,-1.83209315842926e-05
4.2125,-1.98886322089035e-05
4.225,-2.13637811704959e-05
4.2375,-2.27312527643309e-05
4.25,-2.39768675362147e-05
4.2625,-2.50883927762006e-05
4.275,-2.60550338989136e-05
4.2875,-2.68674749580948e-05
4.3,-2.75187369604295e-05
4.3125,-2.80032272675901e-05
4.325,-2.83174864315234e-05
4.3375,-2.84605148159126e-05
4.35,-2.84331113106954e-05
4.3625,-2.8238296737084e-05
4.375,-2.78808661929405e-05
4.3875,-2.736754575814e-05
4.4,-2.67069119898295e-05
4.4125,-2.59092828469882e-05
4.425,-2.49867415776955e-05
4.4375,-2.39524727236527e-05
4.45,-2.2821080164663e-05
4.4625,-2.16078402125431e-05
4.475,-2.03292539135538e-05
4.4875,-1.90022848210376e-05
4.5,-1.76440248925811e-05
4.5125,-1.62719206535223e-05
4.525,-1.49034508668353e-05
4.5375,-1.3555263778308e-05
4.55,-1.22438695767778e-05
4.5625,-1.09848374984408e-05
4.575,-9.79271876465305e-06
4.5875,-8.68139627127157e-06
4.6,-7.66300408826121e-06
4.6125,-6.74825870190067e-06
4.625,-5.94657894800728e-06
4.6375,-5.26559868923397e-06
4.65,-4.71156661300799e-06
4.6625,-4.28899326919222e-06
4.675,-4.00009378618317e-06
4.6875,-3.84559712545906e-06
4.7,-3.82492967387053e-06
4.7125,-3.93519451813956e-06
4.725,-4.17165229878331e-06
4.7375,-4.52874085873314e-06
4.75,-4.99854406739033e-06
4.7625,-5.57218866115985e-06
4.775,-6.23932010238301e-06
4.7875,-6.98828633403065e-06
4.8,-7.80671462359905e-06
4.8125,-8.68109853656046e-06
4.825,-9.59737523882946e-06
4.8375,-1.0540683573434e-05
4.85,-1.14957985542082e-05
4.8625,-1.24472665338022e-05
4.875,-1.33797385277226e-05
4.8875,-1.42778745047425e-05
4.9,-1.51265556795703e-05
4.9125,-1.59114874259662e-05
4.925,-1.66188236787207e-05
4.9375,-1.72356972493029e-05
4.95,-1.77503206257532e-05
4.9625,-1.81518819538803e-05
4.975,-1.8431076748216e-05
4.9875,-1.85800069747754e-05
5,-1.8592299657044e-05
5.0125,-1.84633925392585e-05
5.025,-1.81903370662644e-05
5.0375,-1.77717729583497e-05
5.05,-1.72085231652729e-05
5.0625,-1.65034848768167e-05
5.075,-1.5659783164002e-05
5.0875,-1.46840039355178e-05
5.1,-1.35838334802975e-05
5.1125,-1.23685818441166e-05
5.125,-1.10489501890262e-05
5.1375,-9.63697123846902e-06
5.15,-8.14570149246768e-06
5.1625,-6.58934577548299e-06
5.175,-4.98287091676736e-06
5.1875,-3.34143481847067e-06
5.2,-1.68217118544328e-06
5.2125,-2.06295218410269e-08
5.225,1.62681321250117e-06
5.2375,3.24457936240449e-06
5.25,4.81650248676788e-06
5.2625,6.32934055887033e-06
5.275,7.76872394543862e-06
5.2875,9.11654851484906e-06
5.3,1.03652321614134e-05
5.3125,1.15028613776314e-05
5.325,1.25203117872895e-05
5.3375,1.34095376120413e-05
5.35,1.41641922710439e-05
5.3625,1.47794377368857e-05
5.375,1.52523387857661e-05
5.3875,1.55814569152764e-05
5.4,1.57671222913096e-05
5.4125,1.58115040002971e-05
5.425,1.57180331003787e-05
5.4375,1.5492144884596e-05
5.45,1.51408482459653e-05
5.4625,1.46721741727473e-05
5.475,1.40956716739079e-05
5.4875,1.3422207613354e-05
5.5,1.26636137693595e-05
5.5125,1.18327788466325e-05
5.525,1.09434778941786e-05
5.5375,1.00102569187698e-05
5.55,9.04790572194339e-06
5.5625,8.07131600308682e-06
5.575,7.09621871293093e-06
5.5875,6.13721402623312e-06
5.6,5.20925280343407e-06
5.6125,4.32773706274233e-06
5.625,3.50564475978786e-06
5.6375,2.76009643944493e-06
5.65,2.10221335442122e-06
5.6625,1.53524029422226e-06
5.675,1.07882596818859e-06
5.6875,7.38720306334825e-07
5.7,5.2285168238183e-07
5.7125,4.37126946353913e-07
5.725,4.85637756677168e-07
5.7375,6.70698530762053e-07
5.75,9.93122320972875e-07
5.7625,1.45240913343581e-06
5.775,2.044854082836e-06
5.7875,2.76773570192469e-06
5.8,3.60948354784708e-06
5.8125,4.56141704673608e-06
5.825,5.63551768572798e-06
5.8375,6.79702067128038e-06
5.85,8.04048639883033e-06
5.8625,9.3524482384165e-06
5.875,1.07190298934302e-05
5.8875,1.21249516709685e-05
5.9,1.35545493326266e-05
5.9125,1.49918720157173e-05
5.925,1.64202390517879e-05
5.9375,1.78234101690069e-05
5.95,1.91854327012888e-05
5.9625,2.04906607828205e-05
5.975,2.17239201411244e-05
5.9875,2.28706298170507e-05
6,2.39171674800151e-05
6.0125,2.48515568631187e-05
6.025,2.56625795825721e-05
6.0375,2.63407389961244e-05
6.05,2.68778671779373e-05
6.0625,2.72674859318723e-05
6.075,2.75047109540109e-05
6.0875,2.75861552118245e-05
6.1,2.751033330347e-05
6.1125,2.72773250096129e-05
6.125,2.6889301078895e-05
6.1375,2.63499852753337e-05
6.15,2.5664342435292e-05
6.1625,2.48392675737345e-05
6.175,2.38832791323728e-05
6.1875,2.28060958430719e-05
6.2,2.16187521625607e-05
6.2125,2.03334197055152e-05
6.225,1.89634114901613e-05
6.2375,1.75227087044816e-05
6.25,1.6026122944873e-05
6.2625,1.44890112961672e-05
6.275,1.29271375436429e-05
6.2875,1.1356700363374e-05
6.3,9.79359597622887e-06
6.3125,8.25390731344684e-06
6.325,6.75291823890388e-06
6.3375,5.30602155946321e-06
6.35,3.92778318305687e-06
6.3625,2.63171882050838e-06
6.375,1.43006728668262e-06
6.3875,3.34469501961113e-07
6.4,-6.44387990285219e-07
6.4125,-1.49889444940091e-06
6.425,-2.21984210935487e-06
6.4375,-2.80512822985793e-06
6.45,-3.23723560536666e-06
6.4625,-3.53434100940167e-06
6.475,-3.69348364365475e-06
6.4875,-3.70305317532222e-06
6.5,-3.57279671469586e-06
6.5125,-3.30694879069976e-06
6.525,-2.91015739587677e-06
6.5375,-2.39910674659931e-06
6.55,-1.77587393160866e-06
6.5625,-1.0398118964302e-06
6.575,-2.23770934703065e-07
6.5875,6.67338437338659e-07
6.6,1.61760022904613e-06
6.6125,2.61287208108928e-06
6.625,3.6371458004117e-06
6.6375,4.674785063669e-06
6.65,5.70979077993592e-06
6.6625,6.72608651252374e-06
6.675,7.70787296125139e-06
6.6875,8.63971020772442e-06
6.7,9.50686207434061e-06
6.7125,1.02954051057107e-05
6.725,1.09922493778695e-05
6.7375,1.15854756280542e-05
6.75,1.20645317904773e-05
6.7625,1.24201912431082e-05
6.775,1.26445643133141e-05
6.7875,1.27314291001255e-05
6.8,1.26765249092841e-05
6.8125,1.24768767891075e-05
6.825,1.21312424044067e-05
6.8375,1.16400655570506e-05
6.85,1.1005429678072e-05
6.8625,1.02311302381896e-05
6.875,9.32251450308043e-06
6.8875,8.2864923599296e-06
6.9,7.13135590570663e-06
6.9125,5.8668517044712e-06
6.925,4.50387902231865e-06
6.9375,3.05454095485174e-06
6.95,1.53177361813072e-06
6.9625,-5.05669638247091e-08
6.975,-1.67777530737896e-06
6.9875,-3.33498381670591e-06
7,-5.00645990115561e-06
7.0125,-6.67832482389831e-06
7.025,-8.32972148224961e-06
7.0375,-9.94979578390048e-06
7.05,-1.15234565322287e-05
7.0625,-1.30347686940507e-05
7.075,-1.44698885775581e-05
7.0875,-1.58154576800235e-05
7.1,-1.7059274735545e-05
7.1125,-1.81901934612234e-05
7.125,-1.91983099448521e-05
7.1375,-2.00752420873038e-05
7.15,-2.08136979086347e-05
7.1625,-2.14083646115026e-05
7.175,-2.18552646041432e-05
7.1875,-2.21521479807959e-05
7.2,-2.22987051274464e-05
7.2125,-2.22960899750489e-05
7.225,-2.21472235311048e-05
7.2375,-2.18566037460949e-05
7.25,-2.14303266198774e-05
7.2625,-2.08761935080973e-05
7.275,-2.02028262653162e-05
7.2875,-1.94213366539612e-05
7.3,-1.85436650704389e-05
7.3125,-1.75818377945915e-05
7.325,-1.65493518974208e-05
7.3375,-1.54605046293457e-05
7.35,-1.43302421384919e-05
7.3625,-1.3173368452462e-05
7.375,-1.20053065009853e-05
7.3875,-1.08415298448289e-05
7.4,-9.69682957447081e-06
7.4125,-8.5858352553668e-06
7.425,-7.52238760393698e-06
7.4375,-6.51971023679497e-06
7.45,-5.59031380245722e-06
7.4625,-4.74570935348456e-06
7.475,-3.99611977322114e-06
7.4875,-3.35032322150958e-06
7.5,-2.81599274277596e-06
7.5125,-2.39914736128624e-06
7.525,-2.10435408652892e-06
7.5375,-1.93490410181214e-06
7.55,-1.89193275705013e-06
7.5625,-1.97514732042294e-06
7.575,-2.18331041439185e-06
7.5875,-2.51335027381071e-06
7.6,-2.9609194606376e-06
7.6125,-3.51998075896021e-06
7.625,-4.18317118526271e-06
7.6375,-4.94190286316184e-06
7.65,-5.78623479320667e-06
7.6625,-6.70550794623143e-06
7.675,-7.68828382056909e-06
7.6875,-8.72177425343861e-06
7.7,-9.79289666104177e-06
7.7125,-1.08882777293382e-05
7.725,-1.19942089653457e-05
7.7375,-1.3096714431991e-05
7.75,-1.41817586552043e-05
7.7625,-1.52351358479751e-05
7.775,-1.62434657924816e-05
7.7875,-1.71934291135707e-05
7.8,-1.80722837836617e-05
7.8125,-1.88683978259437e-05
7.825,-1.95710026115656e-05
7.8375,-2.01701683819128e-05
7.85,-2.06572787330504e-05
7.8625,-2.1024887500692e-05
7.875,-2.12668476497997e-05
7.8875,-2.13783863338477e-05
7.9,-2.13563520984434e-05
7.9125,-2.11991738396764e-05
7.925,-2.0906565411948e-05
7.9375,-2.04800702793338e-05
7.95,-1.99223698551555e-05
7.9625,-1.92380466889088e-05
7.975,-1.84330575665456e-05
7.9875,-1.75145322032372e-05
8,-1.64912644060365e-05
8.0125,-1.53727758075278e-05
8.025,-1.41699080246049e-05
8.0375,-1.28943904839157e-05
8.05,-1.15586197119763e-05
8.0625,-1.0175737563559e-05
8.075,-8.75927895897518e-06
8.0875,-7.32308538876563e-06
8.1,-5.8810618067589e-06
8.1125,-4.44700164997181e-06
8.125,-3.03459604763463e-06
8.1375,-1.65722374690675e-06
8.15,-3.27486551403941e-07
8.1625,9.42397698023533e-07
8.175,2.14156486262255e-06
8.1875,3.25925682644042e-06
8.2,4.28740332326738e-06
8.2125,5.22314929321513e-06
8.225,6.04248272715661e-06
8.2375,6.75373561757593e-06
8.25,7.35084700326874e-06
8.2625,7.83039890344424e-06
8.275,8.19123000208827e-06
8.2875,8.43319319588354e-06
8.3,8.55783062894251e-06
8.3125,8.5677336524538e-06
8.325,8.46699700538069e-06
8.3375,8.26097999618557e-06
8.35,7.95625566207676e-06
8.3625,7.56051899177238e-06
8.375,7.08248442932473e-06
8.3875,6.53175746028637e-06
8.4,5.91873954978183e-06
8.4125,5.25453761764009e-06
8.425,4.55074147166635e-06
8.4375,3.81929372512014e-06
8.45,3.07256856738796e-06
8.4625,2.32193725196872e-06
8.475,1.5835571517656e-06
8.4875,8.6573783065186e-07
8.5,1.80838853618144e-07
8.5125,-4.59207935912528e-07
8.525,-1.04364391849191e-06
8.5375,-1.56193478942275e-06
8.55,-2.0049029098231e-06
8.5625,-2.36402509846996e-06
8.575,-2.63207870941112e-06
8.5875,-2.802850658491e-06
8.6,-2.87151228088112e-06
8.6125,-2.83444276748632e-06
8.625,-2.68930224636216e-06
8.6375,-2.4350164171043e-06
8.65,-2.07199751373791e-06
8.6625,-1.60220848906494e-06
8.675,-1.02872316692022e-06
8.6875,-3.55806421684352e-07
8.7,4.10378545413418e-07
8.7125,1.263533547983e-06
8.725,2.19454168022705e-06
8.7375,3.19651708641149e-06
8.75,4.25287980053151e-06
8.7625,5.3608254486775e-06
8.775,6.51298612901296e-06
8.7875,7.68607314076221e-06
8.8,8.87344200101517e-06
8.8125,1.00616856194823e-05
8.825,1.12390844974403e-05
8.8375,1.23931107769008e-05
8.85,1.35119724396203e-05
8.8625,1.45843874346689e-05
8.875,1.5599230679851e-05
8.8875,1.6545928120699e-05
8.9,1.7415397673479e-05
8.9125,1.81989305795011e-05
8.925,1.88889431863246e-05
8.9375,1.94790530021505e-05
8.95,1.99638500657331e-05
8.9625,2.03390378786318e-05
8.975,2.06017050576959e-05
8.9875,2.0750324861581e-05
9,2.07844159596058e-05
9.0125,2.07049883828912e-05
9.025,2.05141310349677e-05
9.0375,2.02154054589918e-05
9.05,1.98130898679671e-05
9.0625,1.93129563031279e-05
9.075,1.87217293489434e-05
9.0875,1.80468046610469e-05
9.1,1.72966447849752e-05
9.1125,1.64806383931664e-05
9.125,1.56087755747087e-05
9.1375,1.46915686890646e-05
9.15,1.37396251153132e-05
9.1625,1.27642874598916e-05
9.175,1.17768337828187e-05
9.1875,1.07887389618513e-05
9.2,9.81107003785549e-06
9.2125,8.85507829339792e-06
9.225,7.93144773664258e-06
9.2375,7.0504462213714e-06
9.25,6.2215836380918e-06
9.2625,5.45381559661353e-06
9.275,4.75526527475262e-06
9.2875,4.13298809344782e-06
9.3,3.59301904303599e-06
9.3125,3.14043321684543e-06
9.325,2.77953263265255e-06
9.3375,2.51279105291248e-06
9.35,2.34168131742475e-06
9.3625,2.26657179388358e-06
9.375,2.28613979356663e-06
9.3875,2.39826866712858e-06
9.4,2.59947997749812e-06
9.4125,2.88515187121884e-06
9.425,3.24976327962342e-06
9.4375,3.68668683659717e-06
9.45,4.18818800587535e-06
9.4625,4.74560009010028e-06
9.475,5.34964758789175e-06
9.4875,5.99053559672872e-06
9.5,6.65780804465704e-06
9.5125,7.34064876715551e-06
9.525,8.02829497533746e-06
9.5375,8.70986468824016e-06
9.55,9.37443194040039e-06
9.5625,1.00111322724018e-05
9.575,1.06096689473843e-05
9.5875,1.11601960751398e-05
9.6,1.1653194101693e-05
9.6125,1.20801046844382e-05
9.625,1.24331684215621e-05
9.6375,1.27053702982106e-05
9.65,1.2890732289085e-05
9.6625,1.29842805486526e-05
9.675,1.29820748296442e-05
9.6875,1.28814674161859e-05
9.7,1.26809092783882e-05
9.7125,1.23798719939405e-05
9.725,1.19790412457763e-05
9.7375,1.1480314561868e-05
9.75,1.08867552028478e-05
9.7625,1.02021719981498e-05
9.775,9.43246128830732e-06
9.7875,8.58347278236248e-06
9.8,7.66211620905358e-06
9.8125,6.67615806008671e-06
9.825,5.63413800067029e-06
9.8375,4.54530302376228e-06
9.85,3.41973980209608e-06
9.8625,2.26694948687799e-06
9.875,1.09763342762685e-06
9.8875,-7.7384510193919e-08
9.9,-1.2475635661735e-06
9.9125,-2.40200465419615e-06
9.925,-3.53075112678367e-06
9.9375,-4.62240541499975e-06
9.95,-5.66736906029568e-06
9.9625,-6.65988325246887e-06
9.975,-7.58817096463688e-06
9.9875,-8.44527301307052e-06
10,-9.2239500749177e-06
10.0125,-9.9182560587669e-06
10.025,-1.05230935894143e-05
10.0375,-1.10344845208544e-05
10.05,-1.1449574811622e-05
10.0625,-1.17665984280952e-05
10.075,-1.19849166688337e-05
10.0875,-1.21050502555935e-05
10.1,-1.21287700979867e-05
10.1125,-1.20589126474934e-05
10.125,-1.1899434876708e-05
10.1375,-1.16553286961824e-05
10.15,-1.13326222489915e-05
10.1625,-1.09382248855289e-05
10.175,-1.04796842063687e-05
10.1875,-9.96551525245365e-06
10.2,-9.40474583879181e-06
10.2125,-8.80697994040967e-06
